curve,segment,time_ms,voltage_pct
IEC62040-3_Curve3,upper,0.1,200.0
IEC62040-3_Curve3,upper,1.0,200.0
IEC62040-3_Curve3,upper,5,135.0
IEC62040-3_Curve3,upper,10.0,120.0
IEC62040-3_Curve3,upper,20.0,120.0
IEC62040-3_Curve3,upper,20.0,114.0
IEC62040-3_Curve3,upper,40.0,114.0
IEC62040-3_Curve3,upper,40.0,112.0
IEC62040-3_Curve3,upper,60,112.0
IEC62040-3_Curve3,upper,60,111.0
IEC62040-3_Curve3,upper,100.0,111.0
IEC62040-3_Curve3,upper,100.0,110.0
IEC62040-3_Curve3,upper,10000.0,110.0
IEC62040-3_Curve3,break,,
IEC62040-3_Curve3,lower,0.1,0.0
IEC62040-3_Curve3,lower,1.0,0.0
IEC62040-3_Curve3,lower,5,65
IEC62040-3_Curve3,lower,10.0,80
IEC62040-3_Curve3,lower,20,80
IEC62040-3_Curve3,lower,20,86
IEC62040-3_Curve3,lower,40,86
IEC62040-3_Curve3,lower,40,88
IEC62040-3_Curve3,lower,60,88
IEC62040-3_Curve3,lower,60,89
IEC62040-3_Curve3,lower,100.0,89
IEC62040-3_Curve3,lower,100.0,90
IEC62040-3_Curve3,lower,100.0,90
IEC62040-3_Curve3,lower,10000,90